Run,Date,Time,Comment,Lift,Drag,Pitch,Incidence,Wind m/s,MG m/s,DynPr Pa,AtmPr mb,T ºC,RH %
1,07/12/2023,11:57:01,Wind off zero,-0.000,-0.004,-0.000,-0.00,0.00,0.00,0.00,1001.22,9.6,73.0
2,07/12/2023,12:00:08,,20.335,19.599,7.796,-5.00,18.00,0.00,199.87,1001.15,9.5,74.1
,,,,,,,,,,,,,
4,07/12/2023,12:05:47,,12.521,17.026,8.846,-4.00,18.01,0.00,199.98,1001.01,9.6,74.7
5,07/12/2023,12:10:59,,4.074,13.138,9.944,-3.00,18.00,0.00,199.87,1000.95,9.7,74.8
6,07/12/2023,12:16:44,,-6.444,10.490,10.562,-2.00,18.00,0.00,199.70,1000.82,9.7,74.9
7,07/12/2023,12:22:56,,-17.213,8.338,10.837,-1.00,18.00,0.00,199.65,1000.64,9.8,74.9
8,07/12/2023,12:29:18,,-29.049,7.996,10.247,0.00,18.00,0.00,199.49,1000.49,9.8,75.0
9,07/12/2023,12:34:24,,-44.860,8.021,9.665,1.00,17.99,0.00,199.31,1000.30,9.8,75.0
10,07/12/2023,12:39:34,,-56.596,8.267,9.016,2.00,18.00,0.00,199.58,1000.08,9.8,75.0
11,07/12/2023,12:43:46,,-72.607,8.701,8.355,3.00,18.00,0.00,199.50,1000.01,9.8,75.0
12,07/12/2023,12:49:43,,-83.926,9.305,7.674,4.00,18.00,0.00,199.42,999.83,9.8,75.0
13,07/12/2023,12:55:08,,-97.850,10.060,7.125,5.00,18.00,0.00,199.32,999.64,9.9,75.1
14,07/12/2023,13:00:38,,-110.004,10.861,6.639,6.00,17.99,0.00,199.22,999.64,9.9,75.1
15,07/12/2023,13:03:11,,-123.443,11.996,6.041,7.00,18.01,0.00,199.52,999.61,9.9,75.1
16,07/12/2023,13:06:47,,-136.566,13.113,5.632,8.00,17.99,0.00,199.11,999.47,9.9,75.2
17,07/12/2023,13:09:43,,-149.471,14.527,5.200,9.00,17.99,0.00,199.14,999.37,9.9,75.2
18,07/12/2023,13:12:30,,-164.396,15.941,4.719,10.00,18.00,0.00,199.39,999.31,9.9,75.2
19,07/12/2023,13:14:48,,-174.497,17.581,4.132,11.00,18.01,0.00,199.39,999.19,9.9,75.2
20,07/12/2023,13:17:46,,-188.537,19.420,3.773,12.00,18.00,0.00,199.16,999.14,9.9,75.2
21,07/12/2023,13:21:01,,-198.738,21.560,3.351,13.00,18.00,0.00,199.17,999.09,10.0,75.2
22,07/12/2023,13:27:19,,-208.455,24.079,2.952,14.00,17.99,0.00,198.94,999.01,10.0,75.3
23,07/12/2023,13:33:49,,-213.313,26.177,2.629,15.00,18.00,0.00,199.10,998.93,10.1,75.3
24,07/12/2023,13:42:04,,-218.522,29.134,2.532,16.00,18.00,0.00,199.07,998.85,10.1,75.3
25,07/12/2023,13:47:09,,-223.347,32.004,2.627,17.00,18.01,0.00,199.14,998.79,10.1,75.4
26,07/12/2023,13:49:54,,-222.629,35.149,2.766,18.00,18.00,0.00,199.07,998.73,10.1,75.4
27,07/12/2023,13:53:19,,-224.465,38.698,3.011,19.00,18.01,0.00,199.18,998.69,10.2,75.4
28,07/12/2023,13:55:48,,-229.824,42.185,3.227,20.00,18.00,0.00,198.93,998.60,10.2,75.5
29,07/12/2023,14:01:31,,-229.574,45.234,3.359,21.00,18.01,0.00,199.00,998.43,10.2,75.5
