name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
dover,2022-01-01,12.2,10.4,11.2,12.2,10.4,11.2,10.2,93.5,0,0,0,,0,0,40.8,27.6,216.7,1019.6,78.5,21.4,40.7,3.6,2,,2022-01-01T07:58:38,2022-01-01T15:58:12,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,E4195,03796099999,03693099999,07003099999"
dover,2022-01-02,12.2,9.2,10.8,12.2,5.5,9.7,9.3,90.6,2.157,100,33.33,rain,0,0,53.1,37,229.4,1011.7,71.3,21.6,19.2,1.7,1,,2022-01-02T07:58:31,2022-01-02T15:59:16,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2022-01-03,9.7,9.1,9.4,7.5,4.9,6.1,7.7,89.6,0.843,100,41.67,rain,0,0,48.3,38.7,237.2,1009,90.7,16.3,16.3,1.6,1,,2022-01-03T07:58:20,2022-01-03T16:00:22,0.02,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2022-01-04,9.1,1.2,5.7,8.3,-4.5,1.9,4.3,91.1,3.729,100,50,rain,0,0,55.7,40.5,295.8,1000.2,81.7,22.4,10.9,0.9,1,,2022-01-04T07:58:07,2022-01-04T16:01:31,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2022-01-05,5.7,1.2,2.7,0.7,-5,-2.3,-0.6,79,0,0,0,,0,0,46.9,34,296.4,1012.1,56.6,31.2,40.8,3.5,2,,2022-01-05T07:57:50,2022-01-05T16:02:43,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2022-01-06,6.8,-0.7,3.6,3.2,-5.4,-0.8,0.6,81.4,0.197,100,16.67,rain,0,0,59.7,38.3,233.9,1017.4,65.8,24.8,34.3,2.8,3,,2022-01-06T07:57:30,2022-01-06T16:03:57,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07002099999,C9694,C1037,03797035047,07009099999,E4195,03796099999,03693099999,07003099999"
dover,2022-01-07,7.1,1.6,4.4,2.9,-2.9,0.5,1.4,81.4,1.215,100,29.17,rain,0,0,43.3,29.8,256.1,1010.7,68.5,28,35.6,3,2,,2022-01-07T07:57:07,2022-01-07T16:05:13,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2022-01-08,9,1.2,5.9,6.1,-2.8,2,4.7,92.6,7.65,100,54.17,rain,0,0,57.9,39.4,244.7,1002.1,85.2,19.9,11.1,0.9,1,,2022-01-08T07:56:40,2022-01-08T16:06:31,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2022-01-09,7.1,1.9,3.9,4.6,-2.5,0.1,1,81.8,1.628,100,8.33,rain,0,0,37,23.2,271,1002.8,46.9,21.8,45,3.8,2,,2022-01-09T07:56:11,2022-01-09T16:07:52,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2022-01-10,7.6,1.6,5,5.8,-1,2.3,3.3,89.5,0.158,100,8.33,rain,0,0,32,21.9,190.2,1019.6,77.8,9.5,24.3,2.2,1,10,2022-01-10T07:55:38,2022-01-10T16:09:15,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
