name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
62304_maritime,2022-01-01,14.7,11,12.7,14.7,11,12.7,9.9,83.6,0.4,100,8.33,rain,,,61.2,51.8,201.9,1019.5,95.2,13.1,37.1,3.3,2,,2022-01-01T07:57:04,2022-01-01T15:55:54,0.96,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,62304_maritime
62304_maritime,2022-01-02,13.5,11.3,12.2,13.5,11.3,12.2,9.8,85.2,3.2,100,70.83,rain,,,87.1,59.4,233.9,1011.5,45.3,8.5,41.1,3.6,2,,2022-01-02T07:56:56,2022-01-02T15:56:58,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,62304_maritime
62304_maritime,2022-01-03,11.7,10.4,11.1,11.7,10.4,11.1,8.6,84.8,3.7,100,95.83,rain,,,70.6,57.6,244.6,1008.7,76.2,10.3,15.8,1.4,1,,2022-01-03T07:56:46,2022-01-03T15:58:05,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,62304_maritime
62304_maritime,2022-01-04,10.4,4.9,8,10.4,-1.4,4.4,4.9,81.4,8.6,100,79.17,rain,,,63,50,299,999.6,78.2,17.8,15,1.2,1,,2022-01-04T07:56:32,2022-01-04T15:59:14,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,62304_maritime
62304_maritime,2022-01-05,6.4,2.4,5.2,1.4,-2.7,-0.8,1.2,75.7,0,0,0,,,,68.4,53.6,310,1011.2,8.6,18.7,53.9,4.6,3,,2022-01-05T07:56:15,2022-01-05T16:00:26,0.09,Clear,Clear conditions throughout the day.,wind,"62304_maritime,remote"
62304_maritime,2022-01-06,7.9,4.2,6.1,2.5,0.2,1.5,2.3,76.5,2,100,16.67,rain,,,79.6,63,229.8,1017.2,47.1,17.6,48.7,4.2,3,,2022-01-06T07:55:55,2022-01-06T16:01:40,0.12,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,62304_maritime
62304_maritime,2022-01-07,8.9,4.7,7,4.1,-1.3,1.8,2.2,72.1,3.1,100,58.33,rain,,,79.6,61.2,269.8,1010.1,55.8,18.4,29.9,2.6,2,,2022-01-07T07:55:32,2022-01-07T16:02:57,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,62304_maritime
62304_maritime,2022-01-08,9.9,4.7,7.5,5.4,-1.1,2.5,5.1,84.5,19.8,100,66.67,rain,,,85.3,66.6,246.6,1001.6,85.7,15.3,8.1,0.6,0,,2022-01-08T07:55:05,2022-01-08T16:04:15,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,62304_maritime
62304_maritime,2022-01-09,8,5.9,6.9,6.3,0,2.4,2.2,71.7,0,0,0,,,,74.2,61.2,284.2,1002.3,26.7,20,50.1,4.5,2,,2022-01-09T07:54:35,2022-01-09T16:05:36,0.25,Partially cloudy,Partly cloudy throughout the day.,wind,62304_maritime
62304_maritime,2022-01-10,8,4.3,6.3,7.7,-1.3,3,3.8,84.2,0,0,0,,,,34.2,35.3,160.2,1019.6,74.2,13.8,57.8,4.9,2,10,2022-01-10T07:54:03,2022-01-10T16:06:59,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,62304_maritime
62304_maritime,2022-01-11,7.8,5.4,6.6,3.6,0.8,2.2,4.7,87.9,0.3,100,12.5,rain,,,35.6,35.3,205.1,1030.6,96.9,9.2,35.8,2.9,3,10,2022-01-11T07:53:27,2022-01-11T16:08:23,0.29,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,62304_maritime
62304_maritime,2022-01-12,9.2,7.5,8.4,7.5,4.3,5.8,5.5,81.9,0,0,0,rain,,,27.4,27.7,353.5,1039.4,40.7,16,54.4,4.6,3,10,2022-01-12T07:52:47,2022-01-12T16:09:50,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,62304_maritime
62304_maritime,2022-01-13,8.9,7.9,8.5,6.9,5.2,6,5.6,82.5,0,0,0,,,,15.5,22.3,260.8,1040.7,2.9,18.5,57.7,4.9,3,10,2022-01-13T07:52:05,2022-01-13T16:11:18,0.35,Clear,Clear conditions throughout the day.,clear-day,62304_maritime
