Run,Date,Time,Comment,Lift,Drag,Pitch,Incidence,Wind m/s,MG m/s,DynPr Pa,AtmPr mb,T ºC,RH %
1,07/12/2023,10:07:25,Wind off zero,-0.000,0.000,-0.000,0.00,0.00,0.00,0.00,1002.71,13.8,55.0
2,07/12/2023,10:13:17,Wind off zero,-0.000,0.000,-0.000,0.00,0.00,0.00,0.00,1002.62,13.1,55.3
3,07/12/2023,10:17:02,,10.718,14.227,6.629,-5.00,16.00,0.00,158.74,1002.60,8.6,66.5
4,07/12/2023,10:18:45,,2.755,12.008,7.402,-4.00,16.00,0.00,158.71,1002.61,8.6,68.3
5,07/12/2023,10:25:50,,-4.441,9.543,7.959,-3.00,16.00,0.00,158.64,1002.68,8.8,71.6
6,07/12/2023,10:27:12,,-17.363,7.712,8.314,-2.00,16.00,0.00,158.70,1002.66,8.8,71.9
7,07/12/2023,10:29:47,,-23.790,6.544,8.111,-1.00,15.99,0.00,158.46,1002.61,8.8,72.5
8,07/12/2023,10:30:58,,-35.995,6.477,7.722,-0.00,15.98,0.00,158.27,1002.58,8.8,72.6
9,07/12/2023,10:34:01,,-43.674,6.703,7.214,1.00,16.00,0.00,158.63,1002.59,8.9,73.0
10,07/12/2023,10:36:29,,-53.775,6.965,6.756,2.00,16.00,0.00,158.56,1002.58,8.9,73.2
11,07/12/2023,10:38:34,,-65.178,7.416,6.250,3.00,16.00,0.00,158.58,1002.55,8.9,73.4
12,07/12/2023,10:41:18,,-76.280,8.004,5.790,4.00,15.99,0.00,158.37,1002.70,8.9,73.6
13,07/12/2023,10:44:22,,-87.115,8.655,5.327,5.00,16.00,0.00,158.52,1002.60,9.0,73.7
14,07/12/2023,10:45:53,,-98.885,9.430,4.915,6.00,16.00,0.00,158.46,1002.58,9.0,73.8
15,07/12/2023,10:50:06,,-106.581,10.336,4.536,7.00,16.00,0.00,158.45,1002.55,9.0,73.9
16,07/12/2023,10:51:27,,-119.787,11.345,4.150,8.00,16.00,0.00,158.50,1002.56,9.0,73.9
17,07/12/2023,10:56:06,,-126.766,12.375,3.809,9.00,16.01,0.00,158.64,1002.45,9.1,74.0
18,07/12/2023,10:58:54,,-138.469,13.543,3.499,10.00,16.00,0.00,158.38,1002.46,9.1,74.1
19,07/12/2023,11:03:37,,-148.436,15.015,2.970,11.00,16.00,0.00,158.39,1002.40,9.2,74.1
20,07/12/2023,11:09:34,,-153.979,16.467,2.769,12.00,16.01,0.00,158.44,1002.25,9.2,74.1
21,07/12/2023,11:12:34,,-164.697,18.281,2.421,13.00,16.00,0.00,158.39,1002.14,9.2,74.1
22,07/12/2023,11:16:52,,-172.410,20.237,2.161,14.00,16.00,0.00,158.24,1001.92,9.3,74.1
23,07/12/2023,11:24:33,,-177.135,22.281,2.009,15.00,15.99,0.00,157.99,1001.81,9.3,74.2
24,07/12/2023,11:28:34,,-180.307,24.617,1.971,16.00,16.00,0.00,158.10,1001.68,9.4,74.2
25,07/12/2023,11:31:33,,-178.170,27.215,2.136,17.00,16.00,0.00,158.03,1001.61,9.4,74.2
26,07/12/2023,11:34:53,,-180.808,29.639,2.266,18.00,16.01,0.00,158.22,1001.54,9.4,74.1
27,07/12/2023,11:38:24,,-181.192,32.400,2.492,19.00,15.99,0.00,157.90,1001.35,9.4,74.2
28,07/12/2023,11:43:15,,-184.364,35.153,2.614,20.00,15.99,0.00,157.86,1001.33,9.5,74.2
29,07/12/2023,11:53:05,,-186.601,37.430,2.693,21.00,15.99,0.00,157.87,1001.27,9.5,74.4
