name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
calais,2022-01-01,16.9,10.2,13.4,16.9,10.2,13.4,9.7,79.4,0,0,0,,0,0,44.9,31,188.8,1020.7,74.1,19,40.7,3.6,2,,2022-01-01T08:55:39,2022-01-01T16:56:53,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,E4195,07003099999"
calais,2022-01-02,15.5,11.3,13,15.5,11.3,13,9.9,81.9,3.401,100,37.5,rain,0,0,71.4,43.3,233.1,1013,88.1,16.7,19.2,1.7,1,,2022-01-02T08:55:33,2022-01-02T16:57:56,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-01-03,11.3,9.1,10.4,11.3,6.4,9.8,8.4,87.3,0.27,100,41.67,rain,0,0,60.4,38.2,237.6,1010.4,88.3,16.2,15.5,1.5,1,,2022-01-03T08:55:23,2022-01-03T16:59:03,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-01-04,9.7,3.9,7.6,8.2,-1.5,4.4,5.5,86.8,5.457,100,62.5,rain,0,0,53.8,34.2,301.3,1000.3,96.8,17.5,10.5,0.9,1,,2022-01-04T08:55:09,2022-01-04T17:00:11,0.06,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-01-05,6.1,3.7,5,2.2,-2.1,0.1,0.7,74.1,0.001,100,4.17,rain,0,0,59,35.5,309.7,1011.8,82.8,21,40.8,3.5,2,,2022-01-05T08:54:53,2022-01-05T17:01:23,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-01-06,6.5,0.9,4.2,3.4,-2,0.8,1.1,80.4,0.039,100,12.5,rain,0,0,49,27.6,218.6,1018.6,75.5,19.2,38.2,3.2,2,,2022-01-06T08:54:33,2022-01-06T17:02:36,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07002099999,C9694,03797035047,07009099999,D8013,06400099999,07010099999,07003099999"
calais,2022-01-07,7.6,4.2,6.4,4,-0.7,2.4,2,74.1,0.731,100,33.33,rain,0,0,59.5,38.9,260.9,1011.2,86.6,18.6,35.6,3,2,,2022-01-07T08:54:11,2022-01-07T17:03:52,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-01-08,9.2,3.3,6.3,6,-0.2,2.4,4.6,88.8,7.905,100,58.33,rain,0,0,83.6,43.8,237.4,1003.7,96.4,15.2,10.6,0.9,1,,2022-01-08T08:53:45,2022-01-08T17:05:10,0.19,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-01-09,7.3,1.6,5.3,4.4,0,1.7,2,79.6,3.277,100,8.33,rain,0,0,65.1,40.8,282.1,1002.6,56.4,18.8,45,3.8,2,,2022-01-09T08:53:15,2022-01-09T17:06:30,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-01-10,4.9,-0.9,1.7,2.1,-2.7,-1.2,1,95,0.18,100,8.33,rain,0,0,32.1,21.9,143.9,1019.6,74.7,9.5,25,2.3,1,10,2022-01-10T08:52:43,2022-01-10T17:07:52,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-01-11,7,3.1,5,6.4,-0.8,2.4,2.9,87,0.003,100,4.17,rain,0,0,26.6,18.4,171.7,1031.2,98.3,15.1,14.9,1.3,1,10,2022-01-11T08:52:08,2022-01-11T17:09:16,0.29,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
