name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
dover,2023-01-01,12.1,8.4,10.4,12.1,6.2,10.2,8.9,90.6,2.869,100,41.67,rain,0,0,73.9,44.4,220.4,1009.4,92.5,16.6,24.3,2.1,1,10,2023-01-01T07:58:40,2023-01-01T15:57:57,0.31,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2023-01-02,9.8,2.9,6.8,8,-0.2,4,5.6,91.9,1.324,100,33.33,rain,0,0,35.1,29.2,267.3,1017,68.7,24.7,32.1,2.8,2,10,2023-01-02T07:58:33,2023-01-02T15:59:00,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2023-01-03,10.4,3.7,9.1,10.4,2.4,6.9,8,93.2,0.608,100,29.17,rain,0,0,79.3,47.9,200.8,1021.1,94.3,20.5,14.5,1.2,1,10,2023-01-03T07:58:24,2023-01-03T16:00:06,0.38,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2023-01-04,12.2,9.6,10.9,12.2,6.2,10.5,10.1,95.4,0.058,100,8.33,rain,0,0,75.7,53.2,232.9,1015.7,90.6,13.8,23,2,1,10,2023-01-04T07:58:11,2023-01-04T16:01:15,0.42,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2023-01-05,10.9,8.6,9.9,10.9,6,8.5,9.2,95.6,0.03,100,4.17,rain,0,0,53.5,36.8,235.2,1019.8,86.5,13.8,31.8,2.8,2,10,2023-01-05T07:57:55,2023-01-05T16:02:26,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2023-01-06,10.9,6.6,9.8,10.9,3.3,8.9,8.7,93.3,0.481,100,29.17,rain,0,0,61,35.1,221.3,1015.4,73,26.6,41.2,3.6,3,10,2023-01-06T07:57:36,2023-01-06T16:03:39,0.5,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain throughout the day.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2023-01-07,10.9,8.2,9.9,10.9,3.7,8.1,7.7,86.7,2.784,100,25,rain,0,0,83,53.2,187.4,1003.7,85.8,26.3,7.5,0.7,0,10,2023-01-07T07:57:13,2023-01-07T16:04:55,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2023-01-08,9.4,6.2,8.3,5.3,1.9,4.4,5.9,85,0.507,100,29.17,rain,0,0,73.7,44.3,214.7,995.1,81.4,21.3,21.1,1.8,1,10,2023-01-08T07:56:48,2023-01-08T16:06:13,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2023-01-09,8.6,4.2,6.3,5.8,0.5,2.7,3.5,82.9,1.929,100,16.67,rain,0,0,55.1,35,256.7,1000.9,66.5,25,33.5,2.9,2,10,2023-01-09T07:56:19,2023-01-09T16:07:33,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2023-01-10,11.2,4.2,8.1,11.2,0,5.5,6.8,92,1.261,100,41.67,rain,0,0,70.2,46.1,215.8,1010.6,82.7,16.5,5.9,0.7,0,10,2023-01-10T07:55:47,2023-01-10T16:08:55,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2023-01-11,10.9,7.1,8.8,10.9,3.1,5.9,6.9,88.1,7.778,100,50,rain,0,0,70.2,49.6,239.4,1009.6,69.3,15.6,43,3.7,2,10,2023-01-11T07:55:12,2023-01-11T16:10:19,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2023-01-12,10.2,7.7,9.7,10.2,3.4,7.4,9,96.4,6.187,100,62.5,rain,0,0,88.8,62.9,232.2,1004.8,89.8,14.5,11.8,0.9,1,10,2023-01-12T07:54:34,2023-01-12T16:11:45,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07002099999,C9694,07009099999,03796099999,03693099999,07003099999"
dover,2023-01-13,10.3,5.9,7.6,10.3,1.7,3.8,3.4,74.7,0.979,100,8.33,rain,0,0,57.7,38.8,245.6,1009.3,63.8,17.7,44.2,4,2,10,2023-01-13T07:53:53,2023-01-13T16:13:13,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07002099999,C9694,03796099999,03693099999,07003099999"
dover,2023-01-14,10.7,5.9,8.8,10.7,2.6,5.9,7.2,90.3,7.45,100,41.67,rain,0,0,83.4,61.1,221.2,1002.1,95.5,22.3,12,1.1,1,10,2023-01-14T07:53:08,2023-01-14T16:14:42,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07002099999,C9694,03796099999,03693099999,07003099999"
dover,2023-01-15,8.5,3.7,5.6,4.7,-1.3,1.2,1.8,76.4,3.955,100,50,rain,0,0,61.3,38.9,240.9,999.1,58.5,30.2,50.9,4.2,3,10,2023-01-15T07:52:21,2023-01-15T16:16:13,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07002099999,C9694,03796099999,03693099999,07003099999"
dover,2023-01-16,5.8,-1.3,3,1,-7.2,-2.5,1.7,91.4,17.169,100,50,"rain,snow",0.1,0.1,68.4,46.4,309.6,983.9,83.9,23,15.5,1.3,1,10,2023-01-16T07:51:31,2023-01-16T16:17:46,0.82,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"07002099999,C9694,07009099999,03796099999,03693099999,07003099999"
dover,2023-01-17,3.8,-3.1,-0.9,0.1,-8.6,-5.8,-3.2,84.5,0,0,0,,0,0,31.6,24,312.1,989.2,57.5,25.1,32.8,3,2,10,2023-01-17T07:50:39,2023-01-17T16:19:20,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,07009099999,D1286,03796099999,03693099999,07003099999"
dover,2023-01-18,4.4,-1.3,0.7,1.3,-7.4,-3.8,-1.7,84,0,0,0,,0,0,35.1,27.6,282.8,997.6,36.3,29.8,43.2,3.8,3,10,2023-01-18T07:49:43,2023-01-18T16:20:55,0.89,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"07002099999,C9694,07009099999,D1286,03796099999,03693099999,07003099999"
dover,2023-01-19,6.3,-0.8,1.5,4,-6.1,-2.8,-1,84.3,0,0,0,snow,0,0,29.5,22.3,292.8,1007.4,57.5,22.6,51.8,4.5,3,10,2023-01-19T07:48:45,2023-01-19T16:22:32,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,E4195,03796099999,03693099999,07003099999"
dover,2023-01-20,5.6,-0.1,2.6,1.4,-4.2,-2.4,0.3,84.6,0.269,100,16.67,"rain,snow",0,0,48.2,36.9,307.1,1017.1,55.8,31.4,54,4.7,3,10,2023-01-20T07:47:44,2023-01-20T16:24:10,0.95,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2023-01-21,6.3,2.1,3.7,3.2,-3,-0.4,0.4,79.1,0,0,0,rain,0,0,40.5,29.3,49.8,1031.5,59.9,23.9,54.9,4.7,3,10,2023-01-21T07:46:40,2023-01-21T16:25:50,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,C1037,03797035047,07009099999,03796099999,remote,03693099999,07003099999"
dover,2023-01-22,5.8,1.3,2.9,3.4,-3.3,-0.9,0.7,85.9,0.02,100,4.17,rain,0,0,31.6,22.2,354.7,1034.6,88.2,41.6,25.6,2.2,1,10,2023-01-22T07:45:34,2023-01-22T16:27:30,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07002099999,C9694,03797035047,07009099999,E4195,03796099999,03693099999,07003099999"
dover,2023-01-23,4.6,2.7,3.7,1.1,-1.6,-0.2,1.3,84,0,0,0,rain,0,0,31.5,20.4,36.6,1036.6,98,37.7,6.8,0.7,0,10,2023-01-23T07:44:25,2023-01-23T16:29:11,0.05,Overcast,Cloudy skies throughout the day.,cloudy,"07002099999,C9694,03797035047,07009099999,E4195,03796099999,03693099999,07003099999"
dover,2023-01-24,4.6,0.8,3.8,0.9,-1.8,-0.2,2.1,88.3,0,0,0,,0,0,35,24,39,1038.1,99.9,17.8,10.7,0.9,0,10,2023-01-24T07:43:14,2023-01-24T16:30:53,0.09,Overcast,Cloudy skies throughout the day.,cloudy,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2023-01-25,4.9,1.6,2.7,2.8,-2,0.1,1.6,92.6,6.661,100,29.17,"rain,snow",0,0,40.4,29.3,300.7,1032.4,100,6.9,14.8,1.2,1,10,2023-01-25T07:42:00,2023-01-25T16:32:36,0.12,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2023-01-26,6.6,4.2,5.4,2,-1.2,0.3,4.8,96.2,3,100,62.5,rain,0,0,53.5,40.5,349.7,1027.4,93.1,19.1,32.7,2.8,2,10,2023-01-26T07:40:44,2023-01-26T16:34:20,0.16,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2023-01-27,6.1,3.7,4.6,2,-1.7,-0.2,2.4,86.1,0.441,100,16.67,rain,0,0,49.8,36.8,10.4,1028.7,93.2,30.4,30.8,2.6,2,10,2023-01-27T07:39:26,2023-01-27T16:36:05,0.19,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"07002099999,C9694,C1037,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2023-01-28,6.1,2.6,3.8,5.1,-2.1,0.7,0,77.3,0.02,100,4.17,rain,0,0,29.4,22.1,330,1031.2,90.3,38.2,48.2,4.1,3,10,2023-01-28T07:38:05,2023-01-28T16:37:50,0.25,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2023-01-29,9.1,3.4,5.1,6.1,0.2,1.8,3.3,87.8,0.013,100,4.17,rain,0,0,40.7,25.9,243.5,1026.9,86.1,22.2,35,3,2,10,2023-01-29T07:36:42,2023-01-29T16:39:35,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2023-01-30,9.6,2.1,6.3,7.3,-0.2,2.9,3,80.4,0,0,0,,0,0,49.9,31.6,284.5,1024.1,45,26.4,48.9,4.2,3,10,2023-01-30T07:35:17,2023-01-30T16:41:22,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,03796099999,03693099999,07003099999"
dover,2023-01-31,10.5,3.3,6.4,10.5,-0.8,3.2,3.3,80.9,0,0,0,rain,0,0,42.4,27.7,258.7,1024.8,72.9,25.5,44.7,3.9,3,10,2023-01-31T07:33:50,2023-01-31T16:43:08,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,03796099999,remote,03693099999,07003099999"
dover,2023-02-01,9.1,3.9,6.4,6.1,-0.6,2.7,2.6,77.2,0,0,0,,0,0,46.4,30.6,260.7,1024.5,58.6,22.5,40.6,3.3,3,10,2023-02-01T07:32:20,2023-02-01T16:44:55,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,03796099999,remote,03693099999,07003099999"
dover,2023-02-02,11.1,5.2,7.8,11.1,1.7,4.7,5.5,85.8,0,0,0,,0,0,46.4,30.6,255.2,1027.1,66.8,34.7,62,5.4,4,10,2023-02-02T07:30:49,2023-02-02T16:46:43,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,03796099999,remote,03693099999,07003099999"
dover,2023-02-03,12.8,7.4,9.3,12.8,3.8,7.4,7,85.5,0,0,0,,0,0,35.4,24.1,255.6,1030.8,50,42.1,59.7,5,3,10,2023-02-03T07:29:16,2023-02-03T16:48:30,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,03796099999,remote,03693099999,07003099999"
dover,2023-02-04,10.3,6.9,8.6,10.3,4.1,6.4,5.4,80.2,0,0,0,,0,0,25.8,20.4,290.1,1037.5,99.5,31,28,2.5,1,10,2023-02-04T07:27:41,2023-02-04T16:50:18,0.46,Overcast,Cloudy skies throughout the day.,cloudy,"07002099999,C9694,03797035047,07009099999,03796099999,remote,03693099999,07003099999"
dover,2023-02-05,8.1,2.7,5.9,4.8,-1.6,1.9,3.6,86.1,0.112,100,4.17,rain,0,0,42.4,31.6,345.5,1043.1,53.9,23,64.4,5.5,3,10,2023-02-05T07:26:04,2023-02-05T16:52:07,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07002099999,C9694,03797035047,07009099999,03796099999,remote,03693099999,07003099999"
